modality,n_features,task,model,fold,test_subject,accuracy,f1_macro
All sensors,18,binary,LogReg,9,10,0.8181818181818182,0.8116223908918406
All sensors,18,binary,RandomForest,9,10,0.7990430622009569,0.7655448717948719
All sensors,18,binary,LogReg,10,11,0.9707317073170731,0.9662087912087912
All sensors,18,binary,RandomForest,10,11,0.9365853658536586,0.9287452207160236
All sensors,18,binary,LogReg,11,13,0.37254901960784315,0.3419354838709677
All sensors,18,binary,RandomForest,11,13,0.3333333333333333,0.2870065789473684
All sensors,18,binary,LogReg,12,14,0.9852941176470589,0.9826996466431095
All sensors,18,binary,RandomForest,12,14,0.7009803921568627,0.41210374639769454
All sensors,18,binary,LogReg,13,15,0.8097560975609757,0.7328320802005013
All sensors,18,binary,RandomForest,13,15,0.8097560975609757,0.7154905519376535
All sensors,18,binary,LogReg,14,16,0.9754901960784313,0.9716595815620572
All sensors,18,binary,RandomForest,14,16,1.0,1.0
All sensors,18,binary,LogReg,15,17,0.937799043062201,0.9309090909090909
All sensors,18,binary,RandomForest,15,17,0.9712918660287081,0.9675465838509316
Chest only,13,3class,LogReg,1,2,0.29896907216494845,0.32742746498070907
Chest only,13,3class,RandomForest,1,2,0.5670103092783505,0.46600911807427886
Chest only,13,3class,LogReg,2,3,0.8477157360406091,0.8255312800253033
Chest only,13,3class,RandomForest,2,3,0.817258883248731,0.7707507104767378
Chest only,13,3class,LogReg,3,4,0.8383838383838383,0.793648798299961
Chest only,13,3class,RandomForest,3,4,0.8434343434343434,0.6254980079681275
Chest only,13,3class,LogReg,4,5,0.7783251231527094,0.6810407101316193
Chest only,13,3class,RandomForest,4,5,0.8620689655172413,0.6784075565773375
Chest only,13,3class,LogReg,5,6,0.7029702970297029,0.7127132247779177
Chest only,13,3class,RandomForest,5,6,0.8564356435643564,0.8307088497994896
Chest only,13,3class,LogReg,6,7,0.5472636815920398,0.572427118696258
Chest only,13,3class,RandomForest,6,7,0.8805970149253731,0.799719887955182
Chest only,13,3class,LogReg,7,8,0.7536945812807881,0.6370183279105001
Chest only,13,3class,RandomForest,7,8,0.7783251231527094,0.6159020518776616
Chest only,13,3class,LogReg,8,9,0.7376237623762376,0.5483360530089502
Chest only,13,3class,RandomForest,8,9,0.8217821782178217,0.5925831744013562
Chest only,13,3class,LogReg,9,10,0.6363636363636364,0.5702218767872592
Chest only,13,3class,RandomForest,9,10,0.5741626794258373,0.4154732510288066
Chest only,13,3class,LogReg,10,11,0.8829268292682927,0.8398712398712399
Chest only,13,3class,RandomForest,10,11,0.8195121951219512,0.6401709401709402
Chest only,13,3class,LogReg,11,13,0.5049019607843137,0.49137883252298575
Chest only,13,3class,RandomForest,11,13,0.6519607843137255,0.6522112463725195
Chest only,13,3class,LogReg,12,14,0.7352941176470589,0.7377844315527554
Chest only,13,3class,RandomForest,12,14,0.8480392156862745,0.8234857806050769
Chest only,13,3class,LogReg,13,15,0.6341463414634146,0.5633632231902098
Chest only,13,3class,RandomForest,13,15,0.6097560975609756,0.46373360938578334
Chest only,13,3class,LogReg,14,16,0.8970588235294118,0.8188224698862997
Chest only,13,3class,RandomForest,14,16,0.6617647058823529,0.5521594684385382
Chest only,13,3class,LogReg,15,17,0.6985645933014354,0.6624118448668597
Chest only,13,3class,RandomForest,15,17,0.7464114832535885,0.5925639221205724
Chest only,13,binary,LogReg,1,2,0.8402061855670103,0.7703440638484744
Chest only,13,binary,RandomForest,1,2,0.8298969072164949,0.7594227950847394
Chest only,13,binary,LogReg,2,3,0.9137055837563451,0.902795112181813
Chest only,13,binary,RandomForest,2,3,0.9390862944162437,0.9225628930817611
Chest only,13,binary,LogReg,3,4,1.0,1.0
Chest only,13,binary,RandomForest,3,4,1.0,1.0
Chest only,13,binary,LogReg,4,5,0.9655172413793104,0.9591772242810768
Chest only,13,binary,RandomForest,4,5,0.9802955665024631,0.9763403263403263
Chest only,13,binary,LogReg,5,6,0.9455445544554455,0.9373643410852712
Chest only,13,binary,RandomForest,5,6,0.9306930693069307,0.9199501811594203
Chest only,13,binary,LogReg,6,7,0.9950248756218906,0.9939100136342979
Chest only,13,binary,RandomForest,6,7,0.9800995024875622,0.9752463054187193
Chest only,13,binary,LogReg,7,8,0.9655172413793104,0.9575377259823696
Chest only,13,binary,RandomForest,7,8,0.9261083743842364,0.9048229300159409
Chest only,13,binary,LogReg,8,9,0.8910891089108911,0.8625850340136054
